step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,0,9,1
4,0,8,1
5,0,7,1
6,0,6,1
7,0,5,1
8,0,4,1
9,0,4,2
10,0,4,3
11,0,4,4
12,0,5,4
13,1,5,4
14,1,5,5
15,1,5,6
16,1,5,7
17,1,5,8
18,1,6,8
19,1,5,8
20,2,5,8
21,2,5,9
