step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,0,8,0
4,0,7,0
5,0,7,1
6,0,7,2
7,0,7,3
8,0,7,4
9,0,8,4
10,0,7,4
11,1,7,4
12,1,6,4
13,1,5,4
14,1,5,5
15,1,5,6
16,1,6,6
17,1,7,6
18,1,8,6
19,1,7,6
20,1,6,6
21,1,5,6
22,1,4,6
23,1,3,6
24,1,2,6
25,1,1,6
26,1,1,7
27,1,1,8
28,1,2,8
29,1,2,9
30,1,3,9
31,1,4,9
32,1,5,9
33,1,6,9
34,1,5,9
35,1,4,9
36,1,3,9
37,1,2,9
38,1,2,8
39,1,2,7
40,1,2,6
41,1,2,5
42,1,2,4
43,2,2,4
44,2,2,5
45,2,2,6
46,2,2,7
47,2,2,8
48,2,3,8
49,2,4,8
50,2,5,8
51,2,5,9
52,2,6,9
53,2,7,9
54,2,8,9
55,2,9,9
56,2,10,9
57,2,11,9
58,2,11,8
59,2,11,7
60,2,11,6
61,2,11,5
62,2,10,5
63,2,9,5
64,2,9,6
65,2,8,6
66,2,7,6
67,2,6,6
68,2,5,6
69,2,4,6
70,2,3,6
71,2,2,6
72,2,2,5
73,2,2,4
74,2,2,3
75,2,2,2
76,2,2,1
77,2,2,2
78,2,2,3
79,2,1,3
80,2,0,3
81,2,0,4
82,2,0,5
83,2,0,6
84,2,0,7
85,2,0,8
86,2,0,9
