step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,0,9,1
4,0,8,1
5,0,7,1
6,1,7,1
7,2,7,1
8,2,7,2
9,2,7,3
10,2,6,3
11,3,6,3
12,3,5,3
13,3,4,3
14,3,3,3
15,3,2,3
16,3,2,4
17,3,2,5
18,3,1,5
19,3,1,6
20,3,1,7
