epoch,train_loss,train_acc,val_loss,val_acc
1,0.3365997652976941,1.0,0.09353359788656235,1.0
2,0.06960132660774085,1.0,0.02753978595137596,1.0
3,0.022369877459147036,1.0,0.012223217919792818,1.0
4,0.010589253826019092,1.0,0.007085553046477878,1.0
5,0.006405406643469364,1.0,0.004852067679166794,1.0
6,0.0045103535581475646,1.0,0.003694139886647463,1.0
7,0.003498326025855465,1.0,0.003015021560713649,1.0
8,0.0028916558561225734,1.0,0.002579340012744069,1.0
9,0.0024957817513495684,1.0,0.0022802562452852726,1.0
10,0.0022203630576722133,1.0,0.002063408959656954,1.0
11,0.0020185487332920996,1.0,0.0018993448466062546,1.0
12,0.0018643596484206426,1.0,0.0017704778583720326,1.0
13,0.0017423446570785765,1.0,0.0016659918474033475,1.0
14,0.001642762856462445,1.0,0.0015791100804167597,1.0
15,0.0015593857671587896,1.0,0.0015050761867314577,1.0
16,0.0014879630627827002,1.0,0.001440678839571774,1.0
17,0.001425606598599981,1.0,0.001383539172820747,1.0
18,0.0013700716991502887,1.0,0.0013322297018021345,1.0
19,0.0013200222687700237,1.0,0.0012855607429114373,1.0
20,0.001274338851754482,1.0,0.0012425805907696486,1.0
21,0.0012321824578042978,1.0,0.0012026942567899823,1.0
22,0.0011930070901050782,1.0,0.0011654259059983103,1.0
23,0.0011562879155509365,1.0,0.0011302995262667537,1.0
24,0.0011216405695543075,1.0,0.0010970771545544267,1.0
25,0.0010888759100523132,1.0,0.001065520802512765,1.0
26,0.0010577559632320816,1.0,0.0010355116100981832,1.0
27,0.0010281129417797695,1.0,0.0010069306008517742,1.0
28,0.0009998065622475666,1.0,0.000979420612566173,1.0
29,0.0009726414140552664,1.0,0.0009532198309898376,1.0
30,0.000946645104051687,1.0,0.0009279712685383856,1.0
31,0.0009216712026570279,1.0,0.0009036748087964952,1.0
32,0.0008976494621795913,1.0,0.000880449719261378,1.0
33,0.0008746074685731378,1.0,0.0008579387213103473,1.0
34,0.0008523498351375262,1.0,0.0008363801171071827,1.0
35,0.0008309743611906201,1.0,0.0008155357386188015,1.0
36,0.0008103344708872148,1.0,0.0007954056086221143,1.0
37,0.0007903874920418438,1.0,0.0007759897271171212,1.0
38,0.0007711547928360793,1.0,0.0007572882459498942,1.0
39,0.0007526364419251108,1.0,0.0007393010891973972,1.0
40,0.0007347408711958008,1.0,0.0007217901470342084,1.0
41,0.0007174130759010903,1.0,0.0007048744414730564,1.0
42,0.0007006806151296657,1.0,0.0006885541952215135,1.0
43,0.0006845221609975665,1.0,0.0006728292210027575,1.0
44,0.0006688887966820636,1.0,0.0006575806359962925,1.0
45,0.0006537531242849162,1.0,0.0006428082706406713,1.0
46,0.0006391426208070838,1.0,0.00062851223628968,1.0
47,0.0006249381963593456,1.0,0.0006146925734356046,1.0
48,0.0006112101090809283,1.0,0.0006012300727888942,1.0
49,0.0005979094869242265,1.0,0.0005882439841313854,1.0
50,0.000585015015437817,1.0,0.0005757343024015427,1.0
51,0.0005725480434007179,1.0,0.0005634627304971218,1.0
52,0.0005604383499863056,1.0,0.0005516675882972777,1.0
53,0.000548664549102959,1.0,0.0005402297829277813,1.0
54,0.0005373183536367157,1.0,0.0005290300468914211,1.0
55,0.0005262591443263376,1.0,0.0005181877058930695,1.0
56,0.0005155084132312391,1.0,0.0005077026435174048,1.0
57,0.0005051149712063563,1.0,0.0004975749761797488,1.0
58,0.0004950086556327266,1.0,0.0004876854654867202,1.0
59,0.00048521078917054605,1.0,0.00047803416964598,1.0
60,0.00047565112562062073,1.0,0.0004687402688432485,1.0
61,0.00046637857135815115,1.0,0.0004596845537889749,1.0
62,0.0004573931196668687,1.0,0.0004508670826908201,1.0
63,0.00044859701227277325,1.0,0.00044228785554878414,1.0
64,0.0004401094121977878,1.0,0.000433946834401349,1.0
65,0.0004318386737185602,1.0,0.00042572495294734836,1.0
66,0.00042370841569768696,1.0,0.00041786045767366886,1.0
67,0.00041586528935183125,1.0,0.0004102342152137957,1.0
68,0.0004082390275867417,1.0,0.00040272708587429446,1.0
69,0.00040082355292561726,1.0,0.00039545822073705494,1.0
70,0.0003935760655738891,1.0,0.0003883084573317319,1.0
71,0.00038649657075532165,1.0,0.00038139700494787616,1.0
72,0.00037965536093673645,1.0,0.0003746046277228743,1.0
73,0.00037293326115617767,1.0,0.0003680505615193397,1.0
74,0.00036640057059673546,1.0,0.00036161558819003403,1.0
75,0.0003600358763017142,1.0,0.0003554189461283386,1.0
76,0.00035386059794407815,1.0,0.0003493413969408721,1.0
77,0.0003478044348482329,1.0,0.00034338299883529544,1.0
78,0.0003419163001056474,1.0,0.0003375437227077782,1.0
79,0.0003361473097286832,1.0,0.0003319427778478712,1.0
80,0.0003304974532698114,1.0,0.00032646095496602356,1.0
81,0.00032506451959936664,1.0,0.0003210982629199229,1.0
82,0.0003197232047871997,1.0,0.00031573555315844715,1.0
83,0.0003144521585617883,1.0,0.0003106111544184387,1.0
84,0.00030932776504554425,1.0,0.00030560590676032007,1.0
85,0.00030434390870281134,1.0,0.00030071981018409133,1.0
86,0.00029950668417418806,1.0,0.00029595286468975246,1.0
87,0.00029476112477147044,1.0,0.00029130507027730346,1.0
88,0.0002901133236427529,1.0,0.00028665723790333647,1.0
89,0.00028553577542949753,1.0,0.00028224775451235473,1.0
90,0.0002811262884045927,1.0,0.00027783826226368546,1.0
91,0.00027673816508374724,1.0,0.0002735478919930756,1.0
92,0.0002725180925037234,1.0,0.0002693767019081861,1.0
93,0.00026834688525503647,1.0,0.0002653246629051864,1.0
94,0.0002643162375674225,1.0,0.00026127262390218675,1.0
95,0.00026028558987980854,1.0,0.0002574589161667973,1.0
96,0.0002564504856052689,1.0,0.0002536452084314078,1.0
97,0.0002526581520214677,1.0,0.0002498314715921879,1.0
98,0.00024891470093280077,1.0,0.0002461368858348578,1.0
99,0.0002452201151754707,1.0,0.00024256148026324809,1.0
100,0.00024164470960386097,1.0,0.00023910523589659968,1.0
101,0.0002381884670541741,1.0,0.00023564899595879504,1.0
102,0.00023475360984985644,1.0,0.00023231192608363926,1.0
103,0.0002314165269639582,1.0,0.00022897482267580926,1.0
104,0.0002281497178885799,1.0,0.00022575691400561482,1.0
105,0.00022493180063648676,1.0,0.0002225389762315899,1.0
106,0.00022173526014786406,1.0,0.00021944021864328533,1.0
107,0.00021863649658954298,1.0,0.00021634146105498075,1.0
108,0.0002156080247517914,1.0,0.00021336187352932504,1.0
109,0.0002126284301854097,1.0,0.00021050144720863065,1.0
110,0.0002097680038647153,1.0,0.0002076410164590925,1.0
111,0.00020690757754402092,1.0,0.0002047805901383981,1.0
112,0.0002040685339568135,1.0,0.00020203932945150882,1.0
113,0.00020132727923994072,1.0,0.00019929806876461953,1.0
114,0.00019863491560010097,1.0,0.00019667598826345056,1.0
115,0.00019601282390515105,1.0,0.00019405389321036637,1.0
116,0.00019341212016745255,1.0,0.00019155097391415873,1.0
117,0.00019090920530008868,1.0,0.0001890480679044824,1.0
118,0.0001884062904327248,1.0,0.0001865451384852033,1.0
119,0.0001859247523288314,1.0,0.00018416139494587222,1.0
120,0.00018354100906528914,1.0,0.0001817776501411572,1.0
121,0.0001811572624436126,1.0,0.0001793938863556832,1.0
122,0.0001788437903787081,1.0,0.00017712931730784476,1.0
123,0.00017657921871898742,1.0,0.00017486473370809108,1.0
124,0.00017431463511923375,1.0,0.00017271934484597296,1.0
125,0.00017216924028709912,1.0,0.0001705739414319396,1.0
126,0.00017002384284308227,1.0,0.00016842853801790625,1.0
127,0.00016787843345903241,1.0,0.0001662831346038729,1.0
128,0.00016580332176556857,1.0,0.00016425691137555987,1.0
129,0.00016372819813207173,1.0,0.00016223068814724684,1.0
130,0.00016175086672704382,1.0,0.0001603236495334979,1.0
131,0.0001597949292492838,1.0,0.0001582974028955821,1.0
132,0.00015783897983149075,1.0,0.00015639036428183317,1.0
133,0.00015593193678889805,1.0,0.00015448330225848147,1.0
134,0.00015402487919439012,1.0,0.00015269544383045286,1.0
135,0.00015223701372563554,1.0,0.00015090756642166525,1.0
136,0.00015044914489874663,1.0,0.00014911970799363664,1.0
137,0.00014866127345997555,1.0,0.00014733182615600526,1.0
138,0.00014687339605118794,1.0,0.00014554394874721766,1.0
139,0.00014515581036296984,1.0,0.0001438752660760656,1.0
140,0.00014343822467475175,1.0,0.00014220656885299832,1.0
141,0.00014181843569251493,1.0,0.00014053787162993103,1.0
142,0.00014014973585756542,1.0,0.0001389883691444993,1.0
143,0.00013855133035506768,1.0,0.00013731967192143202,1.0
144,0.0001369529274644521,1.0,0.0001357701694360003,1.0
145,0.00013540341639712168,1.0,0.00013422065239865333,1.0
146,0.00013385390197165692,1.0,0.00013279033009894192,1.0
147,0.0001323532913095103,1.0,0.00013124081306159496,1.0
148,0.00013087406263459855,1.0,0.00012981049076188356,1.0
149,0.00012944373772300495,1.0,0.00012838016846217215,1.0
150,0.00012801341542329354,1.0,0.00012694983161054552,1.0
151,0.0001265830811835491,1.0,0.0001255195093108341,1.0
152,0.0001251527562719555,1.0,0.00012408917245920748,1.0
153,0.00012379271375278058,1.0,0.0001227780303452164,1.0
154,0.00012241127861227887,1.0,0.00012146688823122531,1.0
155,0.00012110013519234669,1.0,0.00012015574611723423,1.0
156,0.0001197889930783556,1.0,0.00011884459672728553,1.0
157,0.00011849923630973372,1.0,0.00011753345461329445,1.0
158,0.0001172369916159182,1.0,0.00011634149996098131,1.0
159,0.00011599613655842125,1.0,0.00011503034835661073,1.0
160,0.00011473388757365636,1.0,0.00011383838864276186,1.0
161,0.00011349302822521004,1.0,0.00011264643399044871,1.0
162,0.00011230107058788865,1.0,0.00011145447206217796,1.0
163,0.00011115801204980996,1.0,0.00011026250791948532,1.0
164,0.00010998744404880713,1.0,0.00010907054820563644,1.0
165,0.00010879548212053637,1.0,0.00010799778101500124,1.0
166,0.00010772271492990116,1.0,0.00010680581908673048,1.0
167,0.00010653075001662214,1.0,0.00010573305189609528,1.0
168,0.00010545798152004584,1.0,0.00010466027742950246,1.0
169,0.00010438520705345302,1.0,0.00010358751023886725,1.0
170,0.00010331243986281782,1.0,0.00010251473577227443,1.0
171,0.000102239665396225,1.0,0.00010156115604331717,1.0
172,0.00010128608566726773,1.0,0.00010048838157672435,1.0
173,0.00010021331250661601,1.0,9.941560711013153e-05,1.0
174,9.921083106653382e-05,1.0,9.846202738117427e-05,1.0
175,9.820835093239274e-05,1.0,9.750844543779512e-05,1.0
176,9.723337167927709e-05,1.0,9.655486064730212e-05,1.0
177,9.627979027125268e-05,1.0,9.560127870392297e-05,1.0
178,9.53262092363543e-05,1.0,9.464769391342998e-05,1.0
179,9.439401746464845e-05,1.0,9.369411418447271e-05,1.0
180,9.344043213880072e-05,1.0,9.274052717955783e-05,1.0
181,9.253575113596012e-05,1.0,9.190613997381423e-05,1.0
