epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc
1,0.9203469689373237,0.597981311706629,1.0671312636799282,0.5237847222222223,0.5237847222222223
2,0.7457823198504105,0.6660349083215797,1.13322205013699,0.5657986111111111,0.5657986111111111
3,0.5076799855077553,0.7903737658674189,1.1976098974545797,0.6211805555555555,0.6211805555555555
4,0.3096131064281477,0.8779531029619182,1.6967726588249206,0.6378472222222222,0.6378472222222222
5,0.18392021708158915,0.9293899858956276,2.18362251288361,0.6515625,0.6515625
6,0.12699541608226317,0.9538522566995769,2.4899038771788278,0.6576388888888889,0.6576388888888889
7,0.09737982609334214,0.9645627644569816,2.73509183857176,0.6578125,0.6578125
8,0.07570437290436458,0.9730694640338505,2.79571775926484,0.6756944444444445,0.6756944444444445
9,0.05240830597934039,0.9829866008462623,3.050160977575514,0.68125,0.68125
10,0.01545150357998687,0.9969146685472496,3.493275629149543,0.6770833333333334,0.68125
11,0.0638748743690876,0.9768159379407616,3.221941402223375,0.6842013888888889,0.6842013888888889
12,0.03754981017667585,0.9887605782792666,3.3466969245009954,0.6911458333333333,0.6911458333333333
13,0.01598340513812554,0.9962976022566996,3.707906127969424,0.6800347222222223,0.6911458333333333
14,0.05882406608846527,0.9791519746121298,3.5724769009484185,0.6746527777777778,0.6911458333333333
15,0.04356809528163609,0.9861600846262342,3.1939881930748624,0.6895833333333333,0.6911458333333333
16,0.0153945452764851,0.9958127644569816,3.50461168885231,0.6987847222222222,0.6987847222222222
17,0.0026932282264775244,0.9996473906911142,3.681997764441702,0.7008680555555555,0.7008680555555555
18,0.0009130068988327793,1.0,3.802076829142041,0.7005208333333334,0.7008680555555555
19,0.0006452076826609108,1.0,3.923873664604293,0.6977430555555556,0.7008680555555555
20,0.0004972405253045197,1.0,4.006344884965155,0.6987847222222222,0.7008680555555555
21,0.0003964817316444756,1.0,4.086259968744384,0.6993055555555555,0.7008680555555555
22,0.0003219792486430502,1.0,4.1574102246099045,0.7005208333333334,0.7008680555555555
23,0.0002629160938716503,1.0,4.224040990405612,0.7001736111111111,0.7008680555555555
24,0.00021664993273871276,1.0,4.279626883400811,0.6994791666666667,0.7008680555555555
25,0.00018118568005635337,1.0,4.331002094679409,0.6996527777777778,0.7008680555555555
26,0.00015264319016056974,1.0,4.392601405911975,0.7003472222222222,0.7008680555555555
27,0.00013136601167521145,1.0,4.4396284997463225,0.7001736111111111,0.7008680555555555
28,0.00011206653747988053,1.0,4.488890827364392,0.7006944444444444,0.7008680555555555
29,9.705457209240991e-05,1.0,4.534349944856432,0.7010416666666667,0.7010416666666667
30,8.337489743135759e-05,1.0,4.5787215467956335,0.7012152777777778,0.7012152777777778
31,7.277290306390823e-05,1.0,4.625289671288597,0.7,0.7012152777777778
32,6.311388667273054e-05,1.0,4.668179744482041,0.7008680555555555,0.7012152777777778
33,5.521440020542689e-05,1.0,4.7105118956830765,0.7010416666666667,0.7012152777777778
34,4.809182901893498e-05,1.0,4.746537655923102,0.7005208333333334,0.7012152777777778
35,4.2327725078639006e-05,1.0,4.78691021932496,0.7005208333333334,0.7012152777777778
36,3.7412548844757714e-05,1.0,4.8240180204312,0.7008680555555555,0.7012152777777778
37,3.321045148479887e-05,1.0,4.857345403896438,0.7001736111111111,0.7012152777777778
38,2.920774748954102e-05,1.0,4.894602110319667,0.7006944444444444,0.7012152777777778
39,2.5686616097640625e-05,1.0,4.930092380775346,0.7010416666666667,0.7012152777777778
40,2.2538437059831218e-05,1.0,4.961560914913814,0.7006944444444444,0.7012152777777778
41,2.0214500800494305e-05,1.0,4.998777117331823,0.7008680555555555,0.7012152777777778
42,1.7838389767694768e-05,1.0,5.030134933193525,0.7008680555555555,0.7012152777777778
43,1.5776616432400678e-05,1.0,5.063870704836315,0.7006944444444444,0.7012152777777778
44,1.4039434305752945e-05,1.0,5.091392344898647,0.7006944444444444,0.7012152777777778
45,1.2572980045655967e-05,1.0,5.125930615928438,0.7003472222222222,0.7012152777777778
46,1.1172637330004138e-05,1.0,5.156222048401832,0.7006944444444444,0.7012152777777778
47,9.9655675929848e-06,1.0,5.181375914812088,0.7010416666666667,0.7012152777777778
48,8.90671790317261e-06,1.0,5.216775334212515,0.7005208333333334,0.7012152777777778
49,7.916873668766927e-06,1.0,5.240426256921556,0.7001736111111111,0.7012152777777778
50,7.139068441616968e-06,1.0,5.274755270282427,0.7005208333333334,0.7012152777777778
51,6.3735739853057325e-06,1.0,5.296233750383059,0.7001736111111111,0.7012152777777778
52,5.6533601690625676e-06,1.0,5.3257713499996395,0.6998263888888889,0.7012152777777778
53,5.132283583159538e-06,1.0,5.35468494395415,0.7001736111111111,0.7012152777777778
54,4.5681609487906205e-06,1.0,5.382029946313964,0.7,0.7012152777777778
55,4.0679655671962634e-06,1.0,5.413813637362586,0.7,0.7012152777777778
56,3.6421056123625185e-06,1.0,5.4332896673017075,0.7005208333333334,0.7012152777777778
57,3.292249077689267e-06,1.0,5.467448012696372,0.7001736111111111,0.7012152777777778
58,2.930114593198542e-06,1.0,5.49394593735536,0.7005208333333334,0.7012152777777778
59,2.632676136251969e-06,1.0,5.523197481036187,0.7006944444444444,0.7012152777777778
60,2.374419118342073e-06,1.0,5.543529279695617,0.7001736111111111,0.7012152777777778
61,2.1280888522058025e-06,1.0,5.5623300015926365,0.7003472222222222,0.7012152777777778
62,1.9144259062420795e-06,1.0,5.587455345524682,0.6998263888888889,0.7012152777777778
63,1.7065665857939557e-06,1.0,5.618302483691109,0.7005208333333334,0.7012152777777778
64,1.5439550529644152e-06,1.0,5.6361643566025625,0.6994791666666667,0.7012152777777778
65,1.3838649351301762e-06,1.0,5.668854861458143,0.6989583333333333,0.7012152777777778
66,1.2423437794870412e-06,1.0,5.686388778355386,0.6991319444444445,0.7012152777777778
67,1.1164013149758784e-06,1.0,5.70824793279171,0.6996527777777778,0.7012152777777778
68,1.0086478330011204e-06,1.0,5.7347170505258775,0.6996527777777778,0.7012152777777778
69,9.022920057849415e-07,1.0,5.757706946465704,0.6998263888888889,0.7012152777777778
70,8.154183844815401e-07,1.0,5.779885783791542,0.7003472222222222,0.7012152777777778
71,7.46072767152893e-07,1.0,5.806877161396875,0.6993055555555555,0.7012152777777778
72,6.579650870116124e-07,1.0,5.825828761524624,0.6996527777777778,0.7012152777777778
73,5.913780526591802e-07,1.0,5.848471992876795,0.6993055555555555,0.7012152777777778
74,5.357040558563862e-07,1.0,5.873595473170281,0.6998263888888889,0.7012152777777778
75,4.867501095981429e-07,1.0,5.890191860331429,0.7003472222222222,0.7012152777777778
76,4.3252642127608775e-07,1.0,5.916977641979853,0.6996527777777778,0.7012152777777778
77,3.91164827150198e-07,1.0,5.940954237182935,0.6994791666666667,0.7012152777777778
78,3.5256179920405446e-07,1.0,5.961642011668947,0.6998263888888889,0.7012152777777778
79,3.185141787931937e-07,1.0,5.982741334703234,0.7001736111111111,0.7012152777777778
80,2.9048258412290643e-07,1.0,6.002884495920605,0.6991319444444445,0.7012152777777778
81,2.571023446746376e-07,1.0,6.027541557285521,0.6994791666666667,0.7012152777777778
82,2.3233371788488288e-07,1.0,6.039990688694848,0.6996527777777778,0.7012152777777778
