epoch,train_loss,train_acc,val_loss,val_acc,best_acc
1,2.4815664187721582,0.5584239130434783,2.1821180811145795,0.6205211726384365,0.6205211726384365
2,2.243413500163866,0.6015625,2.1491572344341963,0.6205211726384365,0.6205211726384365
3,2.2127846686736397,0.6012228260869565,2.1002515822357775,0.6205211726384365,0.6205211726384365
4,2.20620232043059,0.6032608695652174,2.0939771476708327,0.6270358306188925,0.6270358306188925
5,2.1746314556702324,0.6195652173913043,2.0336179772106755,0.6335504885993485,0.6335504885993485
6,2.0580042445141338,0.6616847826086957,1.8498957056176002,0.755700325732899,0.755700325732899
7,2.0299384593963623,0.6606657608695652,1.8607652086388404,0.6856677524429967,0.755700325732899
8,1.9251112108645232,0.7092391304347826,1.7789336019696165,0.7866449511400652,0.7866449511400652
9,1.8439949750900269,0.7493206521739131,1.8006275309801878,0.8045602605863192,0.8045602605863192
10,1.8184149006138677,0.7544157608695652,1.652575346080022,0.7768729641693811,0.8045602605863192
11,1.7541851064433223,0.7547554347826086,1.765489690855194,0.7964169381107492,0.8045602605863192
12,1.6781284757282422,0.7795516304347826,1.4526418206746103,0.8306188925081434,0.8306188925081434
13,1.6178926229476929,0.7907608695652174,1.5509177100774907,0.8175895765472313,0.8306188925081434
14,1.6258876168209573,0.7900815217391305,1.4489434759469297,0.8241042345276873,0.8306188925081434
15,1.608337226121322,0.766983695652174,1.3966159478849232,0.8257328990228013,0.8306188925081434
16,1.49595018055128,0.806046195652174,1.303400714544986,0.8322475570032574,0.8322475570032574
17,1.4488090121227761,0.806046195652174,1.2913857822697792,0.8485342019543974,0.8485342019543974
18,1.3600109763767407,0.8165760869565217,1.1734601911582077,0.8338762214983714,0.8485342019543974
19,1.3858912613080896,0.8108016304347826,1.1521761541646156,0.8534201954397395,0.8534201954397395
20,1.3105634088101594,0.8243885869565217,1.2011229075515697,0.8192182410423453,0.8534201954397395
21,1.2751374970311704,0.8247282608695652,1.1404925798360221,0.8338762214983714,0.8534201954397395
22,1.211709921774657,0.8393342391304348,1.1561593300744843,0.8224755700325733,0.8534201954397395
23,1.1696309628693953,0.8369565217391305,1.0665338216076456,0.8550488599348535,0.8550488599348535
24,1.409422799297001,0.8097826086956522,1.4233889471047865,0.8159609120521173,0.8550488599348535
25,1.2880331692488298,0.8233695652173914,1.0733230331433323,0.8387622149837134,0.8550488599348535
26,1.361073576885721,0.8006114130434783,1.314142694108261,0.7996742671009772,0.8550488599348535
27,1.1637973733570264,0.8332201086956522,1.000563392033406,0.8469055374592834,0.8550488599348535
28,1.0468132366304812,0.8552989130434783,0.9282177702223439,0.8713355048859935,0.8713355048859935
29,1.0316428153411201,0.8546195652173914,0.9467457612484985,0.8664495114006515,0.8713355048859935
30,0.9825223010519276,0.8641304347826086,0.9441202640145143,0.8631921824104235,0.8713355048859935
31,0.9525967888210131,0.858016304347826,1.0167853678864842,0.8680781758957655,0.8713355048859935
32,0.939478866432024,0.865828804347826,0.8606669300930507,0.8859934853420195,0.8859934853420195
33,0.9487573478532874,0.8709239130434783,0.8740426046646379,0.8859934853420195,0.8859934853420195
34,1.0087304581766543,0.8586956521739131,1.035492876453586,0.8436482084690554,0.8859934853420195
35,1.0069575853969739,0.8522418478260869,0.8825064755806317,0.8648208469055375,0.8859934853420195
36,0.89674769277158,0.8746603260869565,0.8809793960388009,0.8876221498371335,0.8876221498371335
37,0.8671628806902014,0.8773777173913043,0.830967863141908,0.8892508143322475,0.8892508143322475
38,0.8855464328890261,0.8695652173913043,1.0756219064373924,0.8469055374592834,0.8892508143322475
39,0.9897340717522994,0.8600543478260869,0.8965011811800034,0.8990228013029316,0.8990228013029316
40,0.9287029634351316,0.8688858695652174,1.1183924911853156,0.8078175895765473,0.8990228013029316
41,0.8685575723648071,0.8794157608695652,0.853492133003881,0.8843648208469055,0.8990228013029316
42,0.7892971868100374,0.8868885869565217,0.8679145896861918,0.8778501628664495,0.8990228013029316
43,0.7734487160392429,0.8936820652173914,0.80204553907003,0.8941368078175895,0.8990228013029316
44,0.7490654315637506,0.8974184782608695,0.8279768181934419,0.8925081433224755,0.8990228013029316
45,0.7863340779491093,0.890625,0.8191823121584976,0.8876221498371335,0.8990228013029316
46,0.7185522602952045,0.9038722826086957,0.8487138286087335,0.8859934853420195,0.8990228013029316
47,0.759684347588083,0.890625,0.8129474782788404,0.8827361563517915,0.8990228013029316
48,0.6938431288885034,0.899796195652174,0.8892541462707209,0.8876221498371335,0.8990228013029316
49,0.7310078986313032,0.8984375,0.8473617501484066,0.8778501628664495,0.8990228013029316
50,0.7861670462981515,0.891983695652174,0.8524302881004756,0.8843648208469055,0.8990228013029316
51,0.6998893398305644,0.9004755434782609,0.9923138125323318,0.8501628664495114,0.8990228013029316
52,0.661639232998309,0.9038722826086957,0.8032763232431505,0.8892508143322475,0.8990228013029316
53,0.6237698935944102,0.915421195652174,0.9345239972641103,0.8648208469055375,0.8990228013029316
54,0.6217270014078721,0.9144021739130435,0.8159729182137728,0.8762214983713354,0.8990228013029316
55,0.5648351428301438,0.9167798913043478,0.9916898604324664,0.8485342019543974,0.8990228013029316
56,0.5876349741997926,0.9194972826086957,0.911463631869139,0.8762214983713354,0.8990228013029316
57,0.5304558834303981,0.9286684782608695,0.8147957810361532,0.8876221498371335,0.8990228013029316
58,0.579902515463207,0.9130434782608695,0.8210244967028838,0.8843648208469055,0.8990228013029316
59,0.5386519963326661,0.9235733695652174,0.7468756810073356,0.8908794788273615,0.8990228013029316
