step,z,r,c
0,0,11,0
1,0,10,0
2,0,10,1
3,1,10,1
4,1,9,1
5,1,9,2
6,1,9,3
7,1,8,3
8,1,7,3
9,1,6,3
10,1,5,3
11,1,4,3
12,1,3,3
13,1,3,4
14,1,3,5
15,1,2,5
16,1,2,6
17,1,2,7
18,1,1,7
19,1,0,7
20,2,0,7
