step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,0,8,0
4,0,7,0
5,0,7,1
6,0,7,2
7,0,6,2
8,0,5,2
9,0,5,3
10,0,4,3
11,0,3,3
12,0,2,3
13,0,2,4
14,0,2,5
15,0,1,5
16,0,1,6
17,0,1,7
18,0,0,7
19,0,0,8
20,1,0,8
21,2,0,8
22,2,0,9
