step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,0,9,1
4,0,8,1
5,0,7,1
6,0,7,2
7,1,7,2
8,1,6,2
9,1,5,2
10,1,4,2
11,1,4,3
12,2,4,3
13,2,4,4
14,2,4,5
15,2,4,6
16,2,4,7
17,2,5,7
18,2,5,8
19,2,6,8
20,2,5,8
21,2,5,9
