step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,0,9,1
4,0,8,1
5,0,7,1
6,1,7,1
7,2,7,1
8,2,6,1
9,1,6,1
10,1,7,1
11,2,7,1
12,2,7,2
13,2,7,3
14,2,6,3
15,3,6,3
16,3,5,3
17,3,4,3
18,3,3,3
19,3,2,3
20,3,2,4
21,3,2,5
22,3,2,6
