step,z,r,c
0,0,11,0
1,0,11,1
2,0,10,1
3,0,9,1
4,0,8,1
5,0,7,1
6,0,6,1
7,0,6,2
8,0,6,3
9,0,5,3
10,1,5,3
11,2,5,3
12,2,5,4
13,2,5,5
14,2,5,6
15,2,5,7
16,2,6,7
17,2,5,7
18,2,5,8
19,2,4,8
20,1,4,8
21,0,4,8
22,0,5,8
23,0,6,8
24,0,7,8
25,0,8,8
26,0,7,8
27,0,6,8
28,0,5,8
29,0,4,8
30,0,3,8
31,0,2,8
32,0,1,8
