step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,0,9,1
4,0,9,2
5,1,9,2
6,1,8,2
7,2,8,2
8,2,8,3
9,2,8,4
10,2,8,5
11,2,7,5
12,2,6,5
13,2,6,6
14,3,6,6
15,3,6,7
16,3,6,8
17,3,5,8
18,3,5,9
19,3,4,9
20,3,3,9
21,4,3,9
22,4,3,10
23,4,3,11
24,4,2,11
