step,z,r,c
0,0,11,0
1,0,11,1
2,0,10,1
3,0,9,1
4,0,9,2
5,1,9,2
6,1,8,2
7,2,8,2
8,2,8,3
9,2,8,4
10,2,8,5
11,2,7,5
12,2,6,5
13,2,6,4
14,2,5,4
15,2,4,4
16,2,4,5
17,3,4,5
18,3,4,6
19,3,3,6
20,3,2,6
21,3,3,6
22,3,4,6
23,3,5,6
24,3,6,6
25,3,6,7
26,3,6,8
27,3,5,8
28,3,5,9
29,3,5,10
30,3,4,10
31,3,4,9
32,3,3,9
33,3,3,8
34,3,2,8
35,3,2,7
36,3,2,6
37,3,2,5
38,3,2,4
39,3,3,4
40,3,3,3
41,3,4,3
42,3,5,3
43,3,5,4
44,3,5,5
45,3,5,6
46,3,6,6
47,3,6,7
48,3,6,8
49,3,7,8
50,3,7,9
51,3,7,10
52,3,7,11
53,3,6,11
54,3,5,11
55,4,5,11
56,4,4,11
57,4,3,11
58,4,3,10
59,4,3,9
60,4,3,8
61,4,2,8
62,4,2,7
63,4,2,6
64,4,2,5
65,4,2,4
66,4,2,3
67,4,2,2
68,4,2,1
69,4,3,1
70,4,4,1
71,4,5,1
72,4,6,1
73,4,7,1
74,4,7,2
75,4,7,3
76,4,8,3
77,4,9,3
78,4,9,4
79,4,9,5
80,4,9,6
81,4,9,7
82,4,9,8
83,4,8,8
84,4,8,9
85,4,8,10
86,4,7,10
87,4,6,10
88,4,5,10
89,4,4,10
