step,z,r,c
0,0,11,0
1,0,10,0
2,0,10,1
3,0,9,1
4,1,9,1
5,1,9,2
6,1,8,2
7,1,7,2
8,1,6,2
9,1,6,3
10,1,6,4
11,1,6,5
12,1,6,6
13,1,5,6
14,1,4,6
15,1,4,7
16,1,4,8
17,1,4,9
18,1,5,9
19,1,6,9
20,1,5,9
21,1,4,9
22,1,3,9
23,1,2,9
24,1,2,8
25,1,2,7
26,1,2,6
27,1,2,5
28,1,2,6
29,1,2,7
30,1,2,8
31,1,2,9
32,1,3,9
33,1,4,9
34,1,5,9
35,1,6,9
36,1,7,9
37,1,8,9
38,1,7,9
39,1,6,9
40,1,5,9
41,1,4,9
42,1,3,9
43,1,2,9
44,1,2,8
45,1,2,7
46,1,2,6
47,1,2,5
48,1,2,4
49,2,2,4
50,2,2,3
51,2,2,2
52,2,2,1
53,2,2,2
54,2,2,3
55,2,2,4
56,2,2,5
57,2,2,6
58,2,2,7
59,2,2,8
60,2,3,8
61,2,4,8
62,2,5,8
63,2,6,8
64,2,7,8
65,2,8,8
66,2,9,8
67,2,10,8
68,2,10,7
69,2,9,7
70,2,9,8
71,2,8,8
72,2,7,8
73,2,6,8
74,2,5,8
75,2,4,8
76,2,3,8
77,2,2,8
78,2,1,8
79,2,0,8
80,2,0,9
