map_name,step,robot_r,robot_c,prev_action,observed_nodes,observed_edges,frontier_count,visited_count,teacher_action,best_reward_action,reward_forward,reward_right,reward_down,reward_left,reward_stop,patch_0,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9,patch_10,patch_11,patch_12,patch_13,patch_14,patch_15,patch_16,patch_17,patch_18,patch_19,patch_20,patch_21,patch_22,patch_23,patch_24
train_002,17,8,9,0,58,140,14,17,0,0,0.48,-3.0,-0.42000000000000004,0.48,-0.5,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1
train_002,18,7,9,0,63,154,17,18,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
train_002,19,7,10,1,67,162,20,19,0,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0
train_002,20,6,10,0,72,180,20,20,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
train_002,21,5,10,0,76,192,21,21,0,0,0.48,0.48,-0.42000000000000004,0.48,-0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
train_002,22,4,10,0,81,208,23,22,1,4,-3.0,0.48,-0.42000000000000004,0.48,10.0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
train_002,23,4,11,1,85,220,24,23,0,4,0.48,0.48,0.48,-0.42000000000000004,10.0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
train_002,24,3,11,0,90,238,24,24,0,4,0.48,0.48,-0.42000000000000004,-3.0,10.0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_002,25,2,11,0,93,246,22,25,3,3,0.48,0.48,-0.42000000000000004,10.48,10.0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0
train_003,0,14,0,4,9,24,6,0,0,0,0.48,0.48,-3.0,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
train_003,1,13,0,0,12,34,7,1,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1
train_003,2,12,0,0,15,44,6,2,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0
train_003,3,11,0,0,16,46,5,3,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0
train_003,4,10,0,0,18,46,7,4,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,1,0,-1,-1,1,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0
train_003,5,10,1,1,23,62,10,5,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,-1,0,1,0,0,-1,1,0,1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0
train_003,6,10,2,1,28,80,11,6,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_003,7,10,3,1,33,98,12,7,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_003,8,9,3,0,36,108,12,8,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_003,9,8,3,0,39,116,12,9,0,0,0.48,0.48,-0.42000000000000004,0.48,-0.5,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
train_003,10,7,3,0,43,124,16,10,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
train_003,11,6,3,0,47,136,16,11,3,1,-3.0,0.48,-0.42000000000000004,0.48,-0.5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
train_003,12,6,2,3,50,144,14,12,0,0,0.48,-0.42000000000000004,-3.0,-3.0,-0.5,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
train_003,13,5,2,0,53,150,15,13,0,0,0.48,-3.0,-0.42000000000000004,0.48,-0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0
train_003,14,4,2,0,56,158,15,14,0,0,0.48,-3.0,-0.42000000000000004,0.48,-0.5,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
train_003,15,3,2,0,60,170,15,15,0,4,0.48,0.48,-0.42000000000000004,-3.0,10.0,0,0,0,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
train_003,16,2,2,0,64,180,13,16,0,4,0.48,0.48,-0.42000000000000004,-3.0,10.0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
train_003,17,1,2,0,64,180,13,17,1,1,0.48,10.48,-0.42000000000000004,0.48,10.0,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,0,1,0,0,1
train_004,0,14,0,4,8,18,4,0,0,0,0.48,0.48,-3.0,-3.0,-0.5,-1,-1,0,1,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
train_004,1,13,0,0,11,26,4,1,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1
train_004,2,12,0,0,12,28,4,2,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,-1,-1,0,1,1,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,0,0,-1,-1,0,0,0
train_004,3,11,0,0,15,34,7,3,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,0,0
train_004,4,10,0,0,18,44,7,4,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,0,0,0,-1,-1,0,1,0
train_004,5,9,0,0,20,50,7,5,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,0,0,0
train_004,6,8,0,0,21,52,8,6,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,1,0,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1
train_004,7,8,1,1,26,68,10,7,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,-1,1,1,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,1,1,0
train_004,8,7,1,0,30,78,10,8,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,0,0,0,0,-1,1,1,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0
train_004,9,7,2,1,34,92,9,9,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_004,10,6,2,0,37,100,11,10,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_004,11,5,2,0,40,110,9,11,0,0,0.48,0.48,-0.42000000000000004,0.48,-0.5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
train_004,12,4,2,0,43,114,11,12,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
train_004,13,3,2,0,47,124,12,13,1,4,-3.0,0.48,-0.42000000000000004,-3.0,10.0,0,2,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
train_004,14,3,3,1,51,132,16,14,1,4,-3.0,0.48,0.48,-0.42000000000000004,10.0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
train_004,15,3,4,1,56,148,19,15,0,0,0.48,-3.0,0.48,-0.42000000000000004,-0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
train_004,16,2,4,0,61,164,17,16,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
train_004,17,2,5,1,66,182,18,17,0,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_004,18,1,5,0,66,182,18,18,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
train_004,19,0,5,0,66,182,18,19,3,1,-3.0,0.48,-0.42000000000000004,0.48,-0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
