map_name,step,robot_r,robot_c,prev_action,observed_nodes,observed_edges,frontier_count,visited_count,teacher_action,best_reward_action,reward_forward,reward_right,reward_down,reward_left,reward_stop,patch_0,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9,patch_10,patch_11,patch_12,patch_13,patch_14,patch_15,patch_16,patch_17,patch_18,patch_19,patch_20,patch_21,patch_22,patch_23,patch_24
unseen_003,5,11,2,1,20,40,8,5,0,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
unseen_003,6,10,2,0,23,48,8,6,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1
unseen_003,7,9,2,0,27,56,10,7,0,0,0.48,-3.0,-0.42000000000000004,0.48,-0.5,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
unseen_003,8,8,2,0,30,64,11,8,1,1,-3.0,0.48,-0.42000000000000004,0.48,-0.5,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
unseen_003,9,8,3,1,34,76,11,9,0,0,0.48,-3.0,-3.0,-0.42000000000000004,-0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
unseen_003,10,7,3,0,39,90,12,10,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
unseen_003,11,7,4,1,42,98,13,11,0,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
unseen_003,12,6,4,0,46,108,14,12,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
unseen_003,13,5,4,0,50,118,15,13,1,1,-3.0,0.48,-0.42000000000000004,0.48,-0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
unseen_003,14,5,5,1,55,134,18,14,0,0,0.48,-3.0,0.48,-0.42000000000000004,-0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
unseen_003,15,4,5,0,59,144,18,15,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
