step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,0,8,0
4,0,7,0
5,0,6,0
6,0,6,1
7,0,5,1
8,0,4,1
9,0,3,1
10,0,3,2
11,0,3,3
12,0,3,4
13,0,3,5
14,1,3,5
15,1,3,6
16,1,2,6
17,1,2,7
18,1,1,7
