step,z,r,c
0,0,11,0
1,0,11,1
2,0,10,1
3,1,10,1
4,1,10,2
5,1,10,3
6,1,9,3
7,1,9,4
8,1,9,5
9,1,9,6
10,1,8,6
11,1,7,6
12,1,6,6
13,1,5,6
14,1,4,6
15,1,3,6
16,2,3,6
17,2,3,5
18,2,3,4
19,2,3,5
20,2,3,6
21,2,3,7
22,2,3,8
23,2,3,9
