step,z,r,c
0,0,11,0
1,0,10,0
2,0,10,1
3,0,9,1
4,0,8,1
5,0,8,2
6,0,7,2
7,0,6,2
8,0,5,2
9,1,5,2
10,1,5,3
11,1,4,3
12,1,4,4
13,1,3,4
14,1,3,5
15,1,3,6
16,1,3,7
17,1,2,7
18,1,1,7
19,1,0,7
20,2,0,7
21,2,0,8
22,2,0,9
23,2,0,10
