timestamp,current_x,current_y,goal_x,goal_y,dir_x,dir_y,distance_to_goal,vision_mean,vision_dark,vision_edge,front_clear,left_clear,right_clear,min_range,predicted_action
1778045464.008870,-2.000905,-1.999999,2.000000,2.000000,0.707187,0.707027,5.657494,0.668000,0.190846,0.010765,0.419351,0.142934,1.000000,0.138155,2
1778045464.208890,-2.000911,-1.999999,2.000000,2.000000,0.707187,0.707026,5.657498,0.667993,0.190843,0.010781,0.414949,0.142606,1.000000,0.138834,2
1778045464.408886,-2.000918,-1.999999,2.000000,2.000000,0.707188,0.707026,5.657503,0.668012,0.190843,0.010762,0.413047,0.147090,1.000000,0.139821,2
1778045464.608944,-2.000924,-1.999999,2.000000,2.000000,0.707189,0.707025,5.657507,0.668231,0.190840,0.010726,0.417485,0.142820,1.000000,0.138179,2
1778045464.813766,-2.000931,-1.999999,2.000000,2.000000,0.707189,0.707024,5.657512,0.668002,0.190846,0.010674,0.413618,0.145346,1.000000,0.138683,2
1778045465.008928,-2.000937,-1.999999,2.000000,2.000000,0.707190,0.707024,5.657516,0.668681,0.190840,0.010684,0.416795,0.144330,1.000000,0.138456,2
1778045465.209646,-2.000944,-1.999999,2.000000,2.000000,0.707190,0.707023,5.657521,0.668676,0.190846,0.010739,0.418471,0.141420,1.000000,0.138765,2
1778045465.412809,-2.000949,-1.999999,2.000000,2.000000,0.707191,0.707023,5.657525,0.668014,0.190850,0.010723,0.421127,0.142265,1.000000,0.136261,2
1778045465.608984,-2.000956,-1.999999,2.000000,2.000000,0.707191,0.707022,5.657530,0.668681,0.190843,0.010687,0.417810,0.144416,1.000000,0.137455,2
1778045465.808936,-2.000962,-1.999999,2.000000,2.000000,0.707192,0.707022,5.657534,0.668012,0.190846,0.010615,0.420672,0.144032,1.000000,0.139474,2
1778045466.008868,-2.000969,-1.999999,2.000000,2.000000,0.707192,0.707021,5.657539,0.667990,0.190846,0.010817,0.417367,0.144736,1.000000,0.140676,2
1778045466.208971,-2.000975,-1.999999,2.000000,2.000000,0.707193,0.707021,5.657543,0.668680,0.190837,0.010798,0.417672,0.143455,1.000000,0.136527,2
1778045466.413276,-2.000982,-1.999999,2.000000,2.000000,0.707194,0.707020,5.657548,0.668010,0.190850,0.010583,0.418208,0.144547,1.000000,0.137974,2
