step,z,r,c
0,0,11,0
1,0,11,1
2,0,10,1
3,1,10,1
4,1,9,1
5,1,10,1
6,1,10,2
7,1,10,3
8,1,9,3
9,1,9,4
10,1,9,5
11,1,9,6
12,1,8,6
13,1,7,6
14,1,6,6
15,1,5,6
16,1,4,6
17,1,3,6
18,1,3,7
19,1,3,8
20,1,2,8
