epoch,train_fraction,train_mse,val_mse,val_top1,best_top1
1,1.0,0.10585460680274772,0.036787324893186334,0.607563025210084,0.607563025210084
2,1.0,0.028580259954737192,0.022033697748116254,0.6647058823529411,0.6647058823529411
3,1.0,0.019554446093522113,0.017444484448649173,0.7428571428571429,0.7428571428571429
4,1.0,0.017359674184905288,0.016674703157241184,0.7453781512605042,0.7453781512605042
5,1.0,0.01628658125872196,0.016327315126853807,0.7596638655462185,0.7596638655462185
6,1.0,0.01544794580568132,0.014706305994175018,0.7697478991596639,0.7697478991596639
7,1.0,0.014692715474649834,0.014390224252207996,0.7873949579831933,0.7873949579831933
8,1.0,0.014072703738708746,0.01408367644917846,0.7966386554621848,0.7966386554621848
9,1.0,0.013351231870738863,0.013415166252122253,0.8050420168067227,0.8050420168067227
10,1.0,0.012881922942039008,0.01324480890523969,0.8084033613445378,0.8084033613445378
11,1.0,0.012314643544145304,0.012111920836510514,0.8159663865546218,0.8159663865546218
12,1.0,0.011607881415658076,0.011717849940338622,0.819327731092437,0.819327731092437
13,1.0,0.01093705931305956,0.013116002851290644,0.8126050420168067,0.819327731092437
14,1.0,0.010304703645221902,0.01005191105804647,0.8218487394957983,0.8218487394957983
15,1.0,0.009334466773933929,0.01021425794836262,0.838655462184874,0.838655462184874
16,1.0,0.009254222417340174,0.009614997943236999,0.8327731092436975,0.838655462184874
17,1.0,0.008614255733176196,0.009726557453686422,0.8420168067226891,0.8420168067226891
18,1.0,0.008814014453560563,0.009575194265876358,0.8420168067226891,0.8420168067226891
19,1.0,0.0077145556420638965,0.008488528792281262,0.846218487394958,0.846218487394958
20,1.0,0.007978978474119847,0.009962294145989512,0.8588235294117647,0.8588235294117647
21,1.0,0.007691786802186049,0.008772654366319039,0.8470588235294118,0.8588235294117647
22,1.0,0.006987308251977468,0.007768930505200044,0.8680672268907563,0.8680672268907563
23,1.0,0.00702355046830699,0.007776231212020176,0.8714285714285714,0.8714285714285714
24,1.0,0.007016318589480767,0.007289281435761978,0.873109243697479,0.873109243697479
25,1.0,0.006111950966361139,0.008003604039709924,0.8630252100840337,0.873109243697479
26,1.0,0.00615950576447921,0.006858605190493758,0.8689075630252101,0.873109243697479
27,1.0,0.0059640317454149145,0.0069381583912856695,0.8689075630252101,0.873109243697479
28,1.0,0.0057110955249186955,0.0070262983333835025,0.8705882352941177,0.873109243697479
29,1.0,0.005644808297109403,0.006343137314371867,0.8789915966386554,0.8789915966386554
30,1.0,0.005997238759032524,0.006501727220562414,0.8680672268907563,0.8789915966386554
