mode,maps,success_rate,avg_steps_all,avg_steps_success,avg_revisit_ratio,avg_observed_nodes,avg_frontier_switches,avg_fallback_count,avg_frontier_count,max_frontier_count,avg_step_wall_ms,avg_decision_wall_ms,max_decision_wall_ms
mtu3d_proxy,12,0.9166666666666666,50.083333333333336,38.27272727272727,0.17627810984998413,496.1666666666667,28.666666666666668,0.0,80.06748262426052,154.0,55.370426411059924,54.57454633586023,119.19029394630343
ssm_utility,12,1.0,22.083333333333332,22.083333333333332,0.01391025641025641,415.3333333333333,13.916666666666666,0.0,79.94133445413671,144.0,42.51025272661098,42.38873213239773,97.93763200286776
hybrid_ssm,12,1.0,33.666666666666664,33.666666666666664,0.07696316258975788,476.3333333333333,16.75,0.0,80.01143474415942,149.0,96.06226838547695,97.1898792417723,242.25677200593054
