step,z,r,c
0,0,11,0
1,0,10,0
2,1,10,0
3,2,10,0
4,2,10,1
5,2,10,2
6,2,10,3
7,2,10,4
8,2,9,4
9,2,8,4
10,2,7,4
11,2,6,4
12,2,5,4
13,2,4,4
14,2,4,5
15,2,3,5
16,2,2,5
17,2,2,6
18,2,3,6
19,2,4,6
20,2,5,6
21,2,6,6
22,2,7,6
23,2,8,6
24,2,9,6
25,2,10,6
26,2,9,6
27,2,8,6
28,2,7,6
29,2,6,6
30,2,5,6
31,2,4,6
32,2,3,6
33,2,2,6
34,3,2,6
35,3,2,7
