step,z,r,c
0,0,11,0
1,0,10,0
2,0,10,1
3,0,9,1
4,0,8,1
5,0,8,2
6,1,8,2
7,1,8,3
8,1,8,4
9,1,7,4
10,1,6,4
11,1,6,5
12,1,5,5
13,1,4,5
14,1,3,5
15,1,3,6
16,1,3,7
17,1,4,7
18,1,5,7
19,1,6,7
20,1,6,8
21,1,7,8
22,1,8,8
23,2,8,8
24,2,8,7
25,2,7,7
26,2,6,7
27,2,5,7
28,2,5,6
29,2,5,5
30,2,4,5
31,2,4,4
32,2,4,3
33,2,4,2
34,2,4,3
35,2,4,4
36,2,4,5
37,2,3,5
38,2,3,6
39,2,3,7
40,2,3,8
41,2,3,9
