map_name,state_step,candidate_rank,robot_z,robot_r,robot_c,frontier_z,frontier_r,frontier_c,first_action,target_score,is_best,robot_z_norm,robot_r_norm,robot_c_norm,frontier_z_norm,frontier_r_norm,frontier_c_norm,delta_z_norm,delta_r_norm,delta_c_norm,graph_dist_norm,manhattan_norm,unknown_r1_norm,unknown_r2_norm,free_degree_norm,visit_penalty_norm,vertical_change,first_action_norm,prev_action_norm,observed_nodes_norm,observed_edges_norm,frontier_count_norm,visited_count_norm
train_001,0,0,0,11,0,1,11,1,1,0.6584269736842105,1,0.0,1.0,0.0,0.25,1.0,0.09090909090909091,0.2,0.0,0.08333333333333333,0.03125,0.07692307692307693,0.37037037037037035,0.32,0.3333333333333333,0.0,1.0,0.16666666666666666,1.0,0.00244140625,0.001220703125,0.015625,0.0
train_001,0,1,0,11,0,0,11,1,1,0.57721875,0,0.0,1.0,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,0.08333333333333333,0.015625,0.038461538461538464,0.14814814814814814,0.224,0.3333333333333333,0.0,0.0,0.16666666666666666,1.0,0.00244140625,0.001220703125,0.015625,0.0
train_001,0,2,0,11,0,1,11,0,4,0.4220187500000001,0,0.0,1.0,0.0,0.25,1.0,0.0,0.2,0.0,0.0,0.015625,0.038461538461538464,0.14814814814814814,0.224,0.3333333333333333,0.0,1.0,0.6666666666666666,1.0,0.00244140625,0.001220703125,0.015625,0.0
train_001,0,3,0,11,0,0,10,0,0,0.35961874999999993,0,0.0,1.0,0.0,0.0,0.9090909090909091,0.0,0.0,-0.08333333333333333,0.0,0.015625,0.038461538461538464,0.14814814814814814,0.224,0.16666666666666666,0.0,0.0,0.0,1.0,0.00244140625,0.001220703125,0.015625,0.0
train_001,1,0,0,10,0,0,9,1,0,0.6348819444444445,1,0.0,0.9090909090909091,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,-0.08333333333333333,0.08333333333333333,0.03125,0.07692307692307693,0.37037037037037035,0.384,0.16666666666666666,0.0,0.0,0.0,0.0,0.00390625,0.001953125,0.0234375,0.0009765625
train_001,1,1,0,10,0,0,9,0,0,0.6025082236842105,0,0.0,0.9090909090909091,0.0,0.0,0.8181818181818182,0.0,0.0,-0.08333333333333333,0.0,0.015625,0.038461538461538464,0.14814814814814814,0.264,0.5,0.0,0.0,0.0,0.0,0.00390625,0.001953125,0.0234375,0.0009765625
train_001,1,2,0,10,0,1,11,1,2,0.5597457236842106,0,0.0,0.9090909090909091,0.0,0.25,1.0,0.09090909090909091,0.2,0.08333333333333333,0.08333333333333333,0.046875,0.11538461538461539,0.37037037037037035,0.288,0.3333333333333333,0.03333333333333333,1.0,0.3333333333333333,0.0,0.00390625,0.001953125,0.0234375,0.0009765625
train_001,1,3,0,10,0,1,9,0,0,0.5148819444444445,0,0.0,0.9090909090909091,0.0,0.25,0.8181818181818182,0.0,0.2,-0.08333333333333333,0.0,0.03125,0.07692307692307693,0.37037037037037035,0.384,0.16666666666666666,0.0,1.0,0.0,0.0,0.00390625,0.001953125,0.0234375,0.0009765625
train_001,1,4,0,10,0,0,11,1,2,0.4785375,0,0.0,0.9090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.08333333333333333,0.08333333333333333,0.03125,0.07692307692307693,0.14814814814814814,0.192,0.3333333333333333,0.03333333333333333,0.0,0.3333333333333333,0.0,0.00390625,0.001953125,0.0234375,0.0009765625
train_001,1,5,0,10,0,1,11,0,2,0.32333750000000006,0,0.0,0.9090909090909091,0.0,0.25,1.0,0.0,0.2,0.08333333333333333,0.0,0.03125,0.07692307692307693,0.14814814814814814,0.192,0.3333333333333333,0.03333333333333333,1.0,0.3333333333333333,0.0,0.00390625,0.001953125,0.0234375,0.0009765625
train_001,2,0,0,9,0,1,8,0,0,0.7717669117647059,1,0.0,0.8181818181818182,0.0,0.25,0.7272727272727273,0.0,0.2,-0.08333333333333333,0.0,0.03125,0.07692307692307693,0.37037037037037035,0.384,0.3333333333333333,0.0,1.0,0.0,0.0,0.0048828125,0.002685546875,0.02734375,0.001953125
train_001,2,1,0,9,0,1,9,0,4,0.6603631944444445,0,0.0,0.8181818181818182,0.0,0.25,0.8181818181818182,0.0,0.2,0.0,0.0,0.015625,0.038461538461538464,0.2222222222222222,0.352,0.3333333333333333,0.03333333333333333,1.0,0.6666666666666666,0.0,0.0048828125,0.002685546875,0.02734375,0.001953125
train_001,2,2,0,9,0,0,8,0,0,0.6413631944444445,0,0.0,0.8181818181818182,0.0,0.0,0.7272727272727273,0.0,0.0,-0.08333333333333333,0.0,0.015625,0.038461538461538464,0.14814814814814814,0.264,0.3333333333333333,0.0,0.0,0.0,0.0,0.0048828125,0.002685546875,0.02734375,0.001953125
train_001,2,3,0,9,0,0,9,1,1,0.5803631944444445,0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,0.0,0.08333333333333333,0.015625,0.038461538461538464,0.2222222222222222,0.352,0.16666666666666666,0.03333333333333333,0.0,0.16666666666666666,0.0,0.0048828125,0.002685546875,0.02734375,0.001953125
train_001,2,4,0,9,0,1,11,1,2,0.5314644736842106,0,0.0,0.8181818181818182,0.0,0.25,1.0,0.09090909090909091,0.2,0.16666666666666666,0.08333333333333333,0.0625,0.15384615384615385,0.37037037037037035,0.288,0.3333333333333333,0.06666666666666667,1.0,0.3333333333333333,0.0,0.0048828125,0.002685546875,0.02734375,0.001953125
train_001,2,5,0,9,0,0,11,1,2,0.45025625,0,0.0,0.8181818181818182,0.0,0.0,1.0,0.09090909090909091,0.0,0.16666666666666666,0.08333333333333333,0.046875,0.11538461538461539,0.14814814814814814,0.192,0.3333333333333333,0.06666666666666667,0.0,0.3333333333333333,0.0,0.0048828125,0.002685546875,0.02734375,0.001953125
train_001,2,6,0,9,0,1,11,0,2,0.29505625,0,0.0,0.8181818181818182,0.0,0.25,1.0,0.0,0.2,0.16666666666666666,0.0,0.046875,0.11538461538461539,0.14814814814814814,0.192,0.3333333333333333,0.06666666666666667,1.0,0.3333333333333333,0.0,0.0048828125,0.002685546875,0.02734375,0.001953125
train_001,3,0,0,8,0,1,7,0,0,0.7939625,1,0.0,0.7272727272727273,0.0,0.25,0.6363636363636364,0.0,0.2,-0.08333333333333333,0.0,0.03125,0.07692307692307693,0.37037037037037035,0.384,0.3333333333333333,0.0,1.0,0.0,0.0,0.005859375,0.00341796875,0.03125,0.0029296875
train_001,3,1,0,8,0,1,8,0,4,0.7172481617647058,0,0.0,0.7272727272727273,0.0,0.25,0.7272727272727273,0.0,0.2,0.0,0.0,0.015625,0.038461538461538464,0.2222222222222222,0.352,0.5,0.03333333333333333,1.0,0.6666666666666666,0.0,0.005859375,0.00341796875,0.03125,0.0029296875
train_001,3,2,0,8,0,0,7,0,0,0.6454481617647059,0,0.0,0.7272727272727273,0.0,0.0,0.6363636363636364,0.0,0.0,-0.08333333333333333,0.0,0.015625,0.038461538461538464,0.14814814814814814,0.264,0.3333333333333333,0.0,0.0,0.0,0.0,0.005859375,0.00341796875,0.03125,0.0029296875
train_001,3,3,0,8,0,1,9,0,2,0.5792819444444445,0,0.0,0.7272727272727273,0.0,0.25,0.8181818181818182,0.0,0.2,0.08333333333333333,0.0,0.03125,0.07692307692307693,0.2222222222222222,0.32,0.3333333333333333,0.06666666666666667,1.0,0.3333333333333333,0.0,0.005859375,0.00341796875,0.03125,0.0029296875
train_001,3,4,0,8,0,1,11,1,2,0.5181832236842105,0,0.0,0.7272727272727273,0.0,0.25,1.0,0.09090909090909091,0.2,0.25,0.08333333333333333,0.078125,0.19230769230769232,0.37037037037037035,0.288,0.3333333333333333,0.06666666666666667,1.0,0.3333333333333333,0.0,0.005859375,0.00341796875,0.03125,0.0029296875
train_001,3,5,0,8,0,0,9,1,2,0.49928194444444446,0,0.0,0.7272727272727273,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,0.08333333333333333,0.08333333333333333,0.03125,0.07692307692307693,0.2222222222222222,0.32,0.16666666666666666,0.06666666666666667,0.0,0.3333333333333333,0.0,0.005859375,0.00341796875,0.03125,0.0029296875
train_001,3,6,0,8,0,0,11,1,2,0.436975,0,0.0,0.7272727272727273,0.0,0.0,1.0,0.09090909090909091,0.0,0.25,0.08333333333333333,0.0625,0.15384615384615385,0.14814814814814814,0.192,0.3333333333333333,0.06666666666666667,0.0,0.3333333333333333,0.0,0.005859375,0.00341796875,0.03125,0.0029296875
train_001,3,7,0,8,0,1,11,0,2,0.2817750000000001,0,0.0,0.7272727272727273,0.0,0.25,1.0,0.0,0.2,0.25,0.0,0.0625,0.15384615384615385,0.14814814814814814,0.192,0.3333333333333333,0.06666666666666667,1.0,0.3333333333333333,0.0,0.005859375,0.00341796875,0.03125,0.0029296875
train_001,4,0,0,7,0,1,6,1,0,1.0206419642857143,1,0.0,0.6363636363636364,0.0,0.25,0.5454545454545454,0.09090909090909091,0.2,-0.08333333333333333,0.08333333333333333,0.046875,0.11538461538461539,0.7037037037037037,0.544,0.3333333333333333,0.0,1.0,0.0,0.0,0.0078125,0.0048828125,0.04296875,0.00390625
train_001,4,1,0,7,0,0,6,1,0,0.8135708333333335,0,0.0,0.6363636363636364,0.0,0.0,0.5454545454545454,0.09090909090909091,0.0,-0.08333333333333333,0.08333333333333333,0.03125,0.07692307692307693,0.37037037037037035,0.384,0.3333333333333333,0.0,0.0,0.0,0.0,0.0078125,0.0048828125,0.04296875,0.00390625
train_001,4,2,0,7,0,1,6,0,0,0.7287708333333335,0,0.0,0.6363636363636364,0.0,0.25,0.5454545454545454,0.0,0.2,-0.08333333333333333,0.0,0.03125,0.07692307692307693,0.37037037037037035,0.384,0.5,0.0,1.0,0.0,0.0,0.0078125,0.0048828125,0.04296875,0.00390625
train_001,4,3,0,7,0,1,7,0,4,0.7042437500000001,0,0.0,0.6363636363636364,0.0,0.25,0.6363636363636364,0.0,0.2,0.0,0.0,0.015625,0.038461538461538464,0.2222222222222222,0.352,0.5,0.03333333333333333,1.0,0.6666666666666666,0.0,0.0078125,0.0048828125,0.04296875,0.00390625
train_001,4,4,0,7,0,0,6,0,0,0.61484375,0,0.0,0.6363636363636364,0.0,0.0,0.5454545454545454,0.0,0.0,-0.08333333333333333,0.0,0.015625,0.038461538461538464,0.14814814814814814,0.264,0.5,0.0,0.0,0.0,0.0,0.0078125,0.0048828125,0.04296875,0.00390625
train_001,4,5,0,7,0,1,8,0,2,0.6009669117647058,0,0.0,0.6363636363636364,0.0,0.25,0.7272727272727273,0.0,0.2,0.08333333333333333,0.0,0.03125,0.07692307692307693,0.2222222222222222,0.32,0.5,0.06666666666666667,1.0,0.3333333333333333,0.0,0.0078125,0.0048828125,0.04296875,0.00390625
train_001,4,6,0,7,0,1,9,0,2,0.5510006944444445,0,0.0,0.6363636363636364,0.0,0.25,0.8181818181818182,0.0,0.2,0.16666666666666666,0.0,0.046875,0.11538461538461539,0.2222222222222222,0.32,0.3333333333333333,0.1,1.0,0.3333333333333333,0.0,0.0078125,0.0048828125,0.04296875,0.00390625
train_001,4,7,0,7,0,1,11,1,2,0.5049019736842105,0,0.0,0.6363636363636364,0.0,0.25,1.0,0.09090909090909091,0.2,0.3333333333333333,0.08333333333333333,0.09375,0.23076923076923078,0.37037037037037035,0.288,0.3333333333333333,0.06666666666666667,1.0,0.3333333333333333,0.0,0.0078125,0.0048828125,0.04296875,0.00390625
