step,z,r,c
0,0,11,0
1,0,10,0
2,0,10,1
3,0,9,1
4,0,8,1
5,0,8,2
6,0,8,3
7,0,7,3
8,0,6,3
9,0,5,3
10,0,5,4
11,0,5,5
12,0,5,6
13,0,4,6
14,0,3,6
15,0,2,6
16,0,2,7
17,0,2,8
18,0,2,9
